"Tracking","Seguimiento"
"Global Configuration","Configuración global"
"Enabled","Activado"
"Session Configuration","Configuración de la sesión"
"Visit Cookie Name","Visitar nombre de cookie"
"Visit Cookie Lifetime","Visitar Cookie de por vida"
"In seconds. (Default is 3600 sec.)<br /> Without any activity under this delay we start a new visit.","En segundos. (El valor predeterminado es de 3600 seg.)<br /> Sin ninguna actividad bajo este retraso iniciamos una nueva visita."
"Visitor Cookie Name","Nombre de cookie de visitante"
"Visitor Cookie Lifetime","Visitar Cookie de por vida"
"In days. (Default is 365 days.)<br /> This cookie will be stick to the customer to allow multiple session aggregation.","En días. (El valor predeterminado es 365 días.)<br /> Esta cookie se mantendrá al cliente para permitir la acumulación de múltiples sesiones."
"Tracking Anonymization","Seguimiento de anonimización"
"Anonymize customer data after a delay.","Anonimizar los datos del cliente después de un retraso."
"Anonymization Delay","Retardo de anonimización"
"In days. (Default is 365 days.)<br /> Tracked customer related data will be anonymized after this delay.","In days. (Default is 365 days.)<br /> Tracked customer related data will be anonymized after this delay."
"In months (default is 12 months.).<br /> Tracking data older than this will be removed each day.","En meses (el valor predeterminado es de 12 meses).<br /> Los datos de seguimiento más antiguos que este se eliminarán cada día."
"Use the API to collect data","Usa la API para recolectar datos"
"If set to Yes, the tracking script will use the dedicated Rest API endpoint to send its data instead of using the legacy invisible pixel method. Useful if you have issues white-listing the tracker image URL with parameters in your frontend cache or if you customized the data collection and the tracker needs to send bigger payloads than usual.","Si se establece en Sí, el script de seguimiento utilizará el endpoint API Rest dedicado para enviar sus datos en lugar de usar el método de píxel invisible heredado. Útil si tiene problemas con la lista blanca de la URL de la imagen del rastreador con parámetros en la caché del frontend o si ha personalizado la recopilación de datos y el rastreador necesita enviar cargas mayores de lo habitual."
"Introducing the Elasticsuite newsletter !","¡Presenta el boletín de noticias de Elasticsuite!"
"Dear merchant or agency,","Estimado comerciante o agencia,"
"We are so grateful you're using Elasticsuite on your webshop and we truly hope we've been part of your business growth since many years now.","Estamos muy agradecidos de que esté usando Elasticsuite en su tienda virtual y esperamos que hayamos sido parte de su crecimiento empresarial desde hace muchos años."
"We'd like to invite you to extend your connection with Elasticsuite by subscribing to our newsletter. Stay ahead of the curve with exclusive insights into our cutting-edge product features. Experience the freedom of open-source collaboration and receive non-intrusive updates that keep you informed without overwhelming your inbox.","Nos gustaría invitarle a ampliar su conexión con Elasticsuite suscribiéndose a nuestro boletín de noticias. Manténgase por delante de la curva con información exclusiva sobre las características de nuestros productos de vanguardia. Experimente la libertad de colaboración de código abierto y reciba actualizaciones no intrusivas que le mantengan informado sin abrumar su bandeja de entrada."
"Join the Elasticsuite community today.","Únete a la comunidad de Elasticsuite hoy."
"No thanks","No gracias"
"There are <strong>%1 invalid Elasticsuite tracker events</strong> in the tracker events queue table. This could indicate that something is wrong with the Elasticsuite tracker tags in the frontend.","Hay <strong>%1 eventos de rastreador de Elasticsuite inválidos</strong> en la tabla de cola de eventos del rastreador. Esto podría indicar que algo está mal con las etiquetas del rastreador Elasticsuite en la parte delantera."
"Those invalid tracker events will not be indexed into your behavioral data indices and will automatically be deleted after %1 days.","Those invalid tracker events will not be indexed into your behavioral data indices and will automatically be deleted after %1 days."
"You can decide to remove all of them immediately from the <a href=""%1""><strong>Elasticsuite tracker settings</strong></a> in the ""<strong>Queue cleanup configuration</strong>"" section.","Puede decidir eliminarlos todos inmediatamente de la sección <a href=""%1""><strong>ajustes del rastreador de Elasticsuite</strong></a> en la sección ""<strong>Limpieza de cola</strong>""."
"Purge now","Purgar ahora"
"Purge the queue of all invalid events now","Purgar la cola de todos los eventos no válidos ahora"
"Queue successfully purged","Cola purgada con éxito"
"Failure to purge the queue","No se pudo purgar la cola"
"An error occurred while purging the tracker events queue.","Ocurrió un error mientras se purgaba la cola de eventos del rastreador."
"Queue cleanup configuration","Configuración de limpieza de cola"
"Delay","Retraso"
"In days. (Default is 7 days.)<br />Invalid tracker events older than this delay are periodically removed from the events indexing queue.","In days. (Default is 7 days.)<br />Invalid tracker events older than this delay are periodically removed from the events indexing queue."
"You can click this button to immediately remove all the invalid tracker events from the indexing queue, regardless of the Delay setting above.","Puede hacer clic en este botón para eliminar inmediatamente todos los eventos del rastreador no válidos de la cola de indexación, independientemente de la configuración de Retraso anterior."
"Bot Handling","Bot Handling"
"Filter bot hits","Filtrar bots"
"If enabled, it will prevent known IA or search engines crawler bots generated tracker hits from being recorded to prevent your behavioral data from being polluted by sometimes totally incoherent pagination or results count data.","Si está activado, evitará que los hits de rastreador generados por motores de búsqueda IA o motores de búsqueda para evitar que sus datos conductuales sean contaminados por a veces totalmente incoherentes o datos de conteo de resultados."
