"Tracking","Tracciamento"
"Global Configuration","Configurazione Globale"
"Enabled","Abilitato"
"Session Configuration","Configurazione Sessione"
"Visit Cookie Name","Visita Il Nome Cookie"
"Visit Cookie Lifetime","Visita La Vita Dei Cookie"
"In seconds. (Default is 3600 sec.)<br /> Without any activity under this delay we start a new visit.","In pochi secondi. (La cassaforte è 3600 sec.)<br /> Senza alcuna attività sotto questo ritardo iniziamo una nuova visita."
"Visitor Cookie Name","Nome Cookie Visitatore"
"Visitor Cookie Lifetime","Durata Cookie Visitatore"
"In days. (Default is 365 days.)<br /> This cookie will be stick to the customer to allow multiple session aggregation.","In giorni. (Default è 365 giorni.)<br /> Questo cookie sarà attaccato al cliente per consentire l'aggregazione di sessioni multiple."
"Tracking Anonymization","Anonimizzazione Tracciamento"
"Anonymize customer data after a delay.","Anonimizza i dati del cliente dopo un ritardo."
"Anonymization Delay","Ritardo Di Anonimizzazione"
"In days. (Default is 365 days.)<br /> Tracked customer related data will be anonymized after this delay.","In giorni. (Default è 365 giorni.) I dati relativi ai clienti registrati<br /> saranno resi anonimi dopo questo ritardo."
"In months (default is 12 months.).<br /> Tracking data older than this will be removed each day.","In mesi (il valore predefinito è di 12 mesi.).<br /> I dati di tracciamento più vecchi di questo verranno rimossi ogni giorno."
"Use the API to collect data","Usa l'API per raccogliere dati"
"If set to Yes, the tracking script will use the dedicated Rest API endpoint to send its data instead of using the legacy invisible pixel method. Useful if you have issues white-listing the tracker image URL with parameters in your frontend cache or if you customized the data collection and the tracker needs to send bigger payloads than usual.","Se impostato su Sì, lo script di tracciamento userà l'endpoint API di Resto dedicato per inviare i suoi dati invece di utilizzare il metodo pixel invisibile legacy. Utile se si hanno problemi di white-listing URL immagine tracker con parametri nella cache frontend o se si personalizza la raccolta dei dati e il tracker deve inviare payload più grandi del solito."
"Introducing the Elasticsuite newsletter !","Presentazione della newsletter Elasticsuite !"
"Dear merchant or agency,","Caro commerciante o agenzia,"
"We are so grateful you're using Elasticsuite on your webshop and we truly hope we've been part of your business growth since many years now.","Siamo così grati che stai usando Elasticsuite sul tuo webshop e speriamo davvero di essere parte della tua crescita aziendale da molti anni."
"We'd like to invite you to extend your connection with Elasticsuite by subscribing to our newsletter. Stay ahead of the curve with exclusive insights into our cutting-edge product features. Experience the freedom of open-source collaboration and receive non-intrusive updates that keep you informed without overwhelming your inbox.","Ti invitiamo a estendere la tua connessione con Elasticsuite iscrivendoti alla nostra newsletter. Rimanete davanti alla curva con intuizioni esclusive sulle nostre caratteristiche di prodotto all'avanguardia. Sperimenta la libertà di collaborazione open-source e ricevi aggiornamenti non invadenti che ti tengono informato senza sopraffare la tua casella di posta."
"Join the Elasticsuite community today.","Unisciti oggi alla comunità Elasticsuite."
"No thanks","No grazie"
"There are <strong>%1 invalid Elasticsuite tracker events</strong> in the tracker events queue table. This could indicate that something is wrong with the Elasticsuite tracker tags in the frontend.","Ci sono <strong>%1 eventi invalidi Elasticsuite tracker</strong> nella tabella degli eventi tracker. Questo potrebbe indicare che qualcosa è sbagliato con i tag del tracker Elasticsuite nel frontend."
"Those invalid tracker events will not be indexed into your behavioral data indices and will automatically be deleted after %1 days.","Questi eventi tracker non validi non saranno indicizzati nei tuoi indici di dati comportamentali e verranno automaticamente eliminati dopo %1 giorni."
"You can decide to remove all of them immediately from the <a href=""%1""><strong>Elasticsuite tracker settings</strong></a> in the ""<strong>Queue cleanup configuration</strong>"" section.","Puoi decidere di rimuoverli tutti immediatamente dalla sezione <a href=""%1""><strong>Elasticsuite tracker</strong></a> nella sezione ""<strong>Queue cleanup configuration</strong>""."
"Purge now","Elimina ora"
"Purge the queue of all invalid events now","Elimina la coda di tutti gli eventi non validi ora"
"Queue successfully purged","Coda eliminata con successo"
"Failure to purge the queue","Impossibile eliminare la coda"
"An error occurred while purging the tracker events queue.","Si è verificato un errore durante la pulizia della coda degli eventi tracker."
"Queue cleanup configuration","Configurazione pulizia coda"
"Delay","Ritardo"
"In days. (Default is 7 days.)<br />Invalid tracker events older than this delay are periodically removed from the events indexing queue.","In giorni. (La cassaforte è di 7 giorni.)<br />Gli eventi tracker non validi più vecchi di questo ritardo vengono periodicamente rimossi dalla coda di indicizzazione degli eventi."
"You can click this button to immediately remove all the invalid tracker events from the indexing queue, regardless of the Delay setting above.","È possibile fare clic su questo pulsante per rimuovere immediatamente tutti gli eventi tracker non validi dalla coda di indicizzazione, indipendentemente dall'impostazione Ritardo sopra."
"Bot Handling","Bot Handling"
"Filter bot hits","Filtro colpi bot"
"If enabled, it will prevent known IA or search engines crawler bots generated tracker hits from being recorded to prevent your behavioral data from being polluted by sometimes totally incoherent pagination or results count data.","Se abilitato, impedirà di registrare i colpi di tracker generati da motori di ricerca o IA noti per impedire che i tuoi dati comportamentali siano inquinati da paginazione a volte totalmente incoerente o conteggio dei dati."
